city,NDVI,NDBI,Rainfall,Temperature,latitude,longitude,AQI,Livability
Haridwar,0.3987645296321945,-0.1359883162104469,1645.1280382193454,28.145639371445043,29.9123514,78.0087178,5,42.93
Vijayanagaram,0.4159009128093632,-0.0647279290646271,1008.8983516084904,33.15726407069849,18.1141255,83.4114389,2,47.36
Katihar,0.438507271411767,-0.1474614829971384,1739.3086123537796,28.725865823269828,25.5586421,87.6457196,4,49.0
Nagercoil,0.4584853817124586,-0.180292050320997,1053.050350971632,31.166904655454744,8.1839904,77.4315437,2,54.02
Sri Ganganagar,0.273625929223117,-0.0293926715388342,295.2663291930742,31.72973420794944,29.4605539,73.5850528,4,21.73
Karawal Nagar,0.2674775860237165,-0.0614798883760894,866.5248053386027,28.876254183070216,28.7311406,77.2747898,5,25.24
Mango,0.5076188240237063,-0.1419150089747834,542.5704253891276,20.091036323705964,23.5736106,88.2283548,3,48.53
Thanjavur,0.4521991057538885,-0.1824382704633827,1377.5726930684782,31.752645345641497,10.659037,79.2014278,1,59.77
Bulandshahr,0.4107650938033846,-0.1411996681639055,943.6277053172352,28.40311582123116,28.3874073,77.9743805,5,35.4
Uluberia,0.4330859453521571,-0.1858724237690293,1610.289708977636,28.17603027526468,22.4700318,88.1011108,2,60.02
Murwara,0.3595702268140172,-0.0186248837145866,949.5730476780654,31.68060837871616,23.8339621,80.392456,3,37.33
Sambhal,0.3714482786418461,-0.0805421195930759,1074.5641433901735,28.990394850115702,28.4271928,78.5564546,5,32.5
Singrauli,0.3717662808322651,-0.0180277573084689,784.61613532882,31.153587575106485,24.2431343,82.3827672,3,36.62
Dubai,0.0953312148618919,0.020653480493935,80.16730103129521,40.16244444444448,25.0742823,55.1885387,3,8.12
Abu Dhabi,0.1944306315266036,-0.055978898007034,31.493712209165096,35.09177777777779,24.4538352,54.3774014,4,11.9
Sharjah,0.0430129656307882,0.0766988522499544,55.10119125247002,36.58333333333337,25.2797555,56.2775651,4,3.26
Ajman,0.0465864410818539,0.0675159235668789,82.3794154021889,44.3055555555556,25.332875,55.9960073,3,4.46
Al Ain,0.0618955512572533,-0.0421165025507177,39.90749877085909,37.6611111111111,24.2248697,55.7452211,5,3.38
Fujairah,0.055607564126568,0.1256203473945409,56.791319833137095,37.7308888888889,25.4147357,56.2313667,4,1.29
Umm Al Quwain,0.0741687979539642,0.1184619259508017,76.75875737518072,44.417111111111126,25.5144944,55.718292,3,3.64
Los Angeles,0.1279620853080568,-0.0214592274678111,202.05315637006424,32.24644444444448,34.0536909,-118.242766,3,17.46
Chicago,0.0512510088781275,0.0045854031333588,881.796321290478,15.267674418604711,41.8755616,-87.6244212,3,27.27
Houston,0.0459037996925104,0.027766435279706,872.683244603928,30.394761904761936,29.7589382,-95.3676974,3,23.35
Phoenix,0.017672470218615,0.0039718129404228,191.6304158829153,36.9454545454546,33.4484367,-112.074141,2,15.35
San Francisco,0.0236445169180595,-0.0062111801242236,246.2679533809424,24.06377777777783,37.7879363,-122.4075201,2,23.83
Seattle,0.1054401582591493,-0.0035919540229885,803.7844897508621,15.664054054054075,47.6038321,-122.330062,1,35.93
Boston,0.110762331838565,-0.0440463645943098,1009.5040147468936,18.18911111111117,42.3588336,-71.0578303,3,31.51
Miami,0.0386296102080055,0.0008407600470825,1402.182043850422,32.431818181818244,25.7741566,-80.1935973,2,35.23
Dallas,0.0585115785752165,0.0540284360189573,845.6558035813105,29.32318181818181,32.7762719,-96.7968559,3,22.45
Atlanta,0.0385674931129476,0.0306703397612488,1239.6555343878351,25.463333333333367,33.7544657,-84.3898151,3,28.91
Denver,0.1644009425412362,-0.0541516245487364,365.5891431001471,24.72200000000004,39.7392364,-104.984862,1,34.21
San Diego,0.0460193281178094,0.0013181019332161,218.7793897297233,27.621363636363697,32.7174202,-117.162772,2,23.02
Las Vegas,0.0379559887756609,-0.0144341801385681,73.8126046587713,33.12590909090909,36.1674263,-115.1484131,2,14.99
San Jose,0.0480557593543653,-0.0054548653879992,212.74131811317056,29.20155555555561,37.3361663,-121.890591,2,22.4
Toronto,0.0541772151898734,0.0429786256033095,848.614484737856,16.736666666666736,43.6534817,-79.3839347,2,34.39
Vancouver,0.2056897719575525,-0.0501474926253687,1251.7286586165428,16.623333333333335,49.2608724,-123.113952,1,51.38
Montreal,0.0407897187558204,0.0229061024654659,1144.8153858801347,12.813333333333333,45.5031824,-73.5698065,2,34.15
Ottawa,0.1974193548387096,-0.0308820262163963,865.1723933409521,13.080454545454586,45.4208777,-75.6901106,2,41.61
Paris,0.1335160532498042,-0.0226068527022253,556.5278964516764,20.606363636363653,48.8534951,2.3483915,2,34.93
Madrid,0.0666905059896298,0.0838452088452088,480.9240102747326,25.0266666666667,40.416782,-3.703507,1,30.86
Rome,0.1154111955770559,0.0408082408874801,580.4851239042757,25.03727272727275,41.8933203,12.4829321,3,24.65
Barcelona,0.055473735886107,0.1297895304910955,449.15905748307705,23.42395348837215,41.3825802,2.177073,3,19.54
Vienna,0.0366681756450882,0.0501866445458316,461.3281560540199,20.6639534883721,48.2083537,16.3725042,2,30.33
Budapest,0.4860941052999825,-0.1870895626659214,501.4874717601997,21.52674418604653,47.4813896,19.1457723,2,51.41
Zurich,0.0542841937200638,0.0954337899543379,960.8389284908772,19.024418604651203,47.3744489,8.5410422,2,33.02
Athens,0.1166792452830188,-0.0146756274859415,1160.6630866274145,24.804883720930263,33.9597677,-83.376398,2,40.89
Doha,0.0307098197866862,0.015371102327624,31.136806181631982,35.174444444444475,25.3108807,51.5081812,4,5.22
Riyadh,0.0438118811881188,0.0844550586191923,74.55615784041584,41.74333333333334,23.333333,45.333333,2,10.13
Jeddah,0.0402071691427013,0.0442078897933625,72.15045373514295,37.49311111111115,21.5504432,39.1742363,3,6.49
